,lead
24964,8-1474
24965,7-0553
24966,3-4344
24967,6-8168
24968,3-1426
24969,4-9791
24970,6-6678
24971,1-0577
24972,8-4106
24973,3-9845
24974,5-5662
24975,3-8114
24976,5-7755
24977,5-8764
24978,2-5524
24979,1-8711
24980,4-4556
24981,6-4517
24982,3-0094
24983,8-1942
24984,3-3725
24985,1-8245
24986,3-1056
24987,5-7240
24988,6-0835
24989,4-2679
24990,2-7421
24991,1-5278
24992,2-4419
24993,7-0309
24994,5-5532
24995,1-6968
24996,2-2639
24997,2-7241
24998,6-7570
24999,6-1863
25000,2-7697
25001,6-7235
25002,4-8300
25003,6-2399
25004,1-8689
25005,1-2870
25006,6-5656
25007,8-8737
25008,5-1162
25009,5-7949
25010,5-7148
25011,8-8733
25012,6-0690
25013,4-0130
25014,3-1842
25015,1-5787
25016,1-5024
25017,7-1781
25018,2-6150
25019,8-2514
25020,3-3611
25021,6-0828
25022,4-9323
25023,4-0918
25024,7-6810
25025,6-8931
25026,7-9201
25027,1-1428
25028,1-0994
25029,2-2590
25030,6-1165
25031,8-9121
25032,4-2153
25033,3-9542
25034,7-4715
25035,5-9800
25036,2-9497
25037,6-2606
25038,5-3638
25039,7-7544
25040,2-3618
25041,2-0049
25042,5-6312
25043,1-3033
25044,2-9254
25045,3-0016
25046,8-0646
25047,4-5560
25048,6-0005
25049,7-2258
25050,8-3172
25051,7-0123
25052,8-4351
25053,2-4872
25054,1-3839
25055,2-4392
25056,7-7072
25057,3-8657
25058,8-4133
25059,4-8016
25060,7-0854
25061,7-4597
25062,4-4677
25063,3-2864
25064,4-1440
25065,5-5817
25066,6-5952
25067,2-5937
25068,3-5781
25069,6-4743
25070,3-9658
25071,7-3215
25072,2-7960
25073,1-2219
25074,7-3740
25075,8-7534
25076,4-7330
25077,5-8865
25078,2-9438
25079,3-3304
25080,7-5754
25081,4-8263
25082,4-1463
25083,3-0962
25084,5-8651
25085,8-8582
25086,6-8292
25087,3-4464
25088,7-9287
25089,2-2491
25090,6-3835
25091,8-7547
25092,8-1266
25093,2-5823
25094,2-2330
25095,2-3186
25096,3-8367
25097,4-9166
25098,4-4189
25099,2-0855
25100,2-4813
25101,5-9340
25102,5-3654
25103,4-5047
25104,3-8769
25105,6-1894
25106,1-4999
25107,4-2086
25108,5-2269
25109,2-2273
25110,5-6993
25111,2-2843
25112,8-6363
25113,4-2035
25114,2-6815
25115,7-9618
25116,8-7613
25117,5-2232
25118,8-6948
25119,2-7932
25120,5-8837
25121,7-0595
25122,5-8845
25123,8-0321
25124,8-0752
25125,7-5305
25126,3-0499
25127,5-7103
25128,8-4824
25129,3-0177
25130,4-2326
25131,2-4355
25132,1-0203
25133,3-5936
25134,4-0291
25135,4-3660
25136,5-0874
25137,4-6632
25138,5-9496
25139,6-1556
25140,5-1797
25141,8-8017
25142,6-7303
25143,5-0786
25144,8-4730
25145,6-9327
25146,8-2442
25147,2-7566
25148,8-3562
25149,1-8937
25150,4-9619
25151,8-3780
25152,6-5226
25153,7-3613
25154,4-1862
25155,5-3385
25156,7-3951
25157,8-2795
25158,3-7137
25159,2-0747
25160,6-2706
25161,7-0995
25162,6-5059
25163,8-4081
25164,6-6131
25165,8-4586
25166,6-1978
25167,7-1303
25168,8-7473
25169,8-9013
25170,5-6411
25171,7-5436
25172,7-6359
25173,1-1871
25174,1-1704
25175,7-7491
25176,1-1402
25177,8-3410
25178,6-2173
25179,2-0840
25180,6-7600
25181,4-0011
25182,8-6315
25183,2-6899
25184,7-2426
25185,1-8090
25186,7-5264
25187,7-7298
25188,6-8411
25189,3-6398
25190,5-5179
25191,8-8188
25192,6-0667
25193,7-6224
25194,8-3665
25195,2-5758
25196,2-1509
25197,7-7610
25198,6-0772
25199,5-8804
25200,8-2938
25201,7-9419
25202,1-1583
25203,8-5519
25204,2-5498
25205,3-5462
25206,4-1384
25207,1-3605
25208,3-3570
25209,8-4988
25210,5-4974
25211,5-3328
25212,2-5384
25213,1-3928
25214,2-1359
25215,6-4845
25216,2-3342
25217,1-3294
25218,8-3843
25219,1-2546
25220,4-0553
25221,8-7486
25222,8-1999
25223,6-1027
25224,8-3284
25225,2-5206
25226,3-7698
25227,5-4197
25228,8-1170
25229,3-8469
25230,3-2710
25231,1-1508
25232,7-1615
25233,8-5212
25234,5-8370
25235,5-2418
25236,4-4174
25237,7-9068
25238,6-4064
25239,2-3272
25240,6-5765
25241,7-9032
25242,1-1416
25243,7-7348
25244,8-7922
25245,4-9367
25246,1-2585
25247,2-1779
25248,5-8468
25249,4-5336
25250,7-5284
25251,1-2275
25252,1-3866
25253,8-9288
25254,1-1598
25255,1-5162
25256,1-8008
25257,3-9862
25258,7-2659
25259,3-1901
25260,6-0208
25261,7-8376
25262,8-8066
25263,8-8359
25264,7-6221
25265,8-4384
25266,1-0693
25267,7-9858
25268,8-9521
25269,3-4582
25270,8-0410
25271,3-4369
25272,1-7142
25273,6-2050
25274,2-9969
25275,3-7561
25276,3-8929
25277,6-7781
25278,1-3025
25279,4-2876
25280,3-9773
25281,6-0257
25282,8-9931
25283,5-6128
25284,5-9301
25285,8-6894
25286,4-6805
25287,8-0721
25288,7-6425
25289,4-0111
25290,3-5973
25291,8-5359
25292,7-8167
25293,4-8668
25294,6-3066
25295,2-3782
25296,3-1023
25297,4-3193
25298,1-3621
25299,4-6548
25300,1-8736
25301,3-7895
25302,4-6952
25303,3-2456
25304,5-7418
25305,3-6773
25306,6-3317
25307,2-7882
25308,6-4416
25309,3-4053
25310,8-3900
25311,8-1594
25312,7-9183
25313,7-7470
25314,3-4777
25315,1-0183
25316,6-0826
25317,3-2917
25318,5-6330
25319,5-8142
25320,7-8334
25321,6-4092
25322,6-6462
25323,7-7195
25324,8-4262
25325,1-3633
25326,7-4247
25327,3-0906
25328,8-1580
25329,6-4000
25330,4-2438
25331,7-9882
25332,5-8748
25333,6-4396
25334,7-3367
25335,5-3553
25336,1-2087
25337,2-6923
25338,4-2836
25339,1-9057
25340,7-5283
25341,6-7893
25342,3-3218
25343,4-3045
25344,8-6637
25345,5-0599
25346,5-5736
25347,7-1152
25348,8-6041
25349,2-5113
25350,4-6955
25351,7-2264
25352,7-3814
25353,1-9685
25354,5-8901
25355,2-4404
25356,2-7374
25357,3-2568
25358,5-6742
25359,1-4510
25360,6-6508
25361,1-7060
25362,4-2675
25363,3-5150
25364,6-4927
25365,1-3913
25366,1-5830
25367,2-8786
25368,3-0863
25369,7-9852
25370,8-6277
25371,5-9965
25372,6-1689
25373,4-7917
25374,6-6294
25375,5-5987
25376,4-7714
25377,8-2234
25378,4-5839
25379,6-3881
25380,5-3045
25381,5-3334
25382,6-5568
25383,1-5098
25384,6-8515
25385,1-0657
25386,8-5219
25387,2-5711
25388,2-5198
25389,1-3647
25390,2-7435
25391,3-3392
25392,8-3042
25393,4-3239
25394,1-4622
25395,7-0138
25396,4-9058
25397,8-5907
25398,3-6700
25399,6-4530
25400,3-6035
25401,7-1942
25402,3-5831
25403,7-5971
25404,8-8935
25405,7-4510
25406,4-8413
25407,3-7639
25408,4-4679
25409,8-6551
25410,8-9896
25411,3-9525
25412,4-9306
25413,4-1288
25414,4-8100
25415,5-3660
25416,2-2499
25417,3-3311
25418,5-8141
25419,6-2820
25420,1-3532
25421,6-6960
25422,7-4412
25423,8-0814
25424,7-4348
25425,8-0622
25426,6-5640
25427,7-6263
25428,5-0204
25429,6-5903
25430,1-6523
25431,8-0356
25432,8-8997
25433,6-7705
25434,7-7547
25435,6-1813
25436,5-6422
25437,7-1715
25438,6-3261
25439,6-1097
25440,5-1593
25441,3-0368
25442,4-2091
25443,2-9938
25444,7-7197
25445,4-7182
25446,4-4184
25447,1-9968
25448,2-4496
25449,5-7476
25450,7-2527
25451,4-7832
25452,2-7601
25453,7-0135
25454,5-6363
25455,4-8471
25456,7-0663
25457,1-0835
25458,8-6013
25459,8-2257
25460,8-3334
25461,4-3720
25462,2-3557
25463,8-9886
25464,2-0085
25465,2-3503
25466,6-8206
25467,6-9526
25468,3-2170
25469,7-4812
25470,5-1053
25471,6-0659
25472,7-5567
25473,8-5338
25474,5-2281
25475,5-8352
25476,7-6808
25477,8-4462
25478,6-6246
25479,4-0692
25480,4-8325
25481,8-8159
25482,3-1632
25483,7-0496
25484,7-8756
25485,1-8173
25486,5-8768
25487,2-0842
25488,2-7475
25489,8-9014
25490,8-7420
25491,1-7337
25492,1-1103
25493,7-1975
25494,8-4304
25495,3-8175
25496,7-1066
25497,1-6529
25498,1-7378
25499,5-8458
25500,7-0482
25501,4-5187
25502,4-0527
25503,8-6202
25504,6-1890
25505,5-8081
25506,6-4733
25507,4-6907
25508,8-3709
25509,7-3234
25510,2-4838
25511,7-3917
25512,8-7986
25513,2-6759
25514,8-3616
25515,8-5169
25516,4-6356
25517,4-3122
25518,2-8390
25519,3-8802
25520,8-2625
25521,6-5930
25522,8-9413
25523,6-7060
25524,3-9486
25525,6-8319
25526,6-2204
25527,7-9355
25528,6-9116
25529,4-4624
25530,5-0145
25531,3-7511
25532,4-2013
25533,6-9798
25534,5-5482
25535,5-1879
25536,6-8688
25537,8-3975
25538,5-2030
25539,7-7852
25540,8-3988
25541,5-2973
25542,6-8180
25543,5-1574
25544,8-8916
25545,1-5302
25546,8-3061
25547,1-7080
25548,8-3122
25549,5-1802
25550,2-4383
25551,1-7512
25552,8-6099
25553,4-5993
25554,8-1018
25555,5-5849
25556,1-3918
25557,6-6666
25558,5-2932
25559,5-8219
25560,2-5779
25561,8-7846
25562,4-6508
25563,1-3740
25564,5-0228
25565,4-7731
25566,7-0219
25567,6-8842
25568,6-8475
25569,6-5679
25570,8-3446
25571,5-0730
25572,2-8412
25573,8-0442
25574,3-5042
25575,5-1849
25576,1-8483
25577,2-0604
25578,2-9365
25579,8-9261
25580,7-1142
25581,2-9921
25582,1-4290
25583,3-4551
25584,5-7765
25585,8-0637
25586,8-5613
25587,2-2494
25588,5-8165
25589,3-0593
25590,8-7257
25591,6-8409
25592,7-3105
25593,5-4872
25594,1-7804
25595,2-3701
25596,4-5476
25597,6-9805
25598,8-9523
25599,6-4257
25600,7-3506
25601,6-0373
25602,4-3792
25603,2-4791
25604,6-3415
25605,3-7965
25606,2-6826
25607,8-6421
25608,6-4014
25609,7-7386
25610,2-0096
25611,1-1331
25612,2-5953
25613,3-4414
25614,7-7155
25615,7-4892
25616,8-8016
25617,8-1247
25618,1-0614
25619,3-5010
25620,8-6231
25621,8-4611
25622,1-4081
25623,3-3283
25624,1-6002
25625,4-8073
25626,5-4351
25627,2-8284
25628,7-6459
25629,6-8144
25630,8-2483
25631,5-9729
25632,6-4542
25633,1-9446
25634,3-7534
25635,8-5067
25636,4-3556
25637,5-4832
25638,7-0590
25639,3-9175
25640,7-7182
25641,3-4483
25642,1-3591
25643,7-1072
25644,8-7650
25645,8-4526
25646,3-4727
25647,3-5435
25648,5-4695
25649,3-3912
25650,2-8939
25651,8-0085
25652,6-8616
25653,8-7127
25654,1-0351
25655,4-2458
25656,1-3239
25657,6-2291
25658,2-8975
25659,7-8117
25660,4-6661
25661,6-6196
25662,8-7090
25663,4-7592
25664,8-0301
25665,6-5748
25666,3-3624
25667,4-6335
25668,7-4958
25669,8-4760
25670,6-0757
25671,7-0210
25672,5-9875
25673,4-6640
25674,5-8156
25675,5-5359
25676,6-3150
25677,6-4740
25678,5-3279
25679,4-4967
25680,7-9976
25681,5-0096
25682,4-6178
25683,7-8883
25684,8-4970
25685,8-9405
25686,6-8099
25687,7-8442
25688,3-0929
25689,2-4110
25690,2-0227
25691,1-6311
25692,5-6024
25693,7-8452
25694,3-2246
25695,1-4116
25696,7-3905
25697,1-7019
25698,7-8129
25699,5-3893
25700,1-5511
25701,4-3574
25702,8-5269
25703,5-4802
25704,3-4158
25705,4-2565
25706,2-5386
25707,4-0642
25708,2-0224
25709,5-9920
25710,4-2967
25711,1-3847
25712,5-3050
25713,8-6935
25714,4-4289
25715,1-1591
25716,3-4201
25717,4-2222
25718,5-9207
25719,6-2574
25720,3-3822
25721,6-1302
25722,4-4840
25723,7-3011
25724,6-3882
25725,3-9399
25726,3-9807
25727,8-6784
25728,8-5950
25729,5-2077
25730,8-8825
25731,8-4489
25732,8-9120
25733,7-6895
25734,3-5892
25735,7-5247
25736,8-3606
25737,2-1477
25738,3-1930
25739,7-4615
25740,2-1601
25741,4-6477
25742,8-5432
25743,4-0412
25744,7-6149
25745,5-0588
25746,7-8760
25747,7-9458
25748,5-0993
25749,2-0788
25750,8-7353
25751,1-4010
25752,1-9765
25753,4-3933
25754,6-9668
25755,7-7330
25756,6-6438
25757,7-7427
25758,7-1912
25759,3-7699
25760,4-7948
25761,4-9574
25762,8-9738
25763,6-7118
25764,4-5563
25765,6-0584
25766,5-1201
25767,6-1731
25768,3-8303
25769,3-3964
25770,3-4528
25771,6-0277
25772,1-6644
25773,7-1240
25774,8-1358
25775,7-2770
25776,5-9019
25777,1-3803
25778,3-2095
25779,7-5198
25780,7-9079
25781,7-4952
25782,7-8926
25783,4-1269
25784,1-1039
25785,1-3455
25786,1-4625
25787,3-9652
25788,6-0745
25789,3-7292
25790,1-8277
25791,5-4907
25792,3-0717
25793,2-1413
25794,2-1867
25795,4-0927
25796,1-3340
25797,2-0226
25798,3-9848
25799,1-7409
25800,8-3289
25801,1-0884
25802,1-2605
25803,1-4498
25804,1-9126
25805,6-2134
25806,7-6706
25807,5-6283
25808,4-8296
25809,4-6069
25810,1-1935
25811,6-1860
25812,1-0521
25813,6-4525
25814,6-2855
25815,4-5912
25816,1-3100
25817,7-7234
25818,3-1585
25819,5-6296
25820,1-3979
25821,2-6774
25822,1-6553
25823,7-1999
25824,8-4579
25825,6-7992
25826,1-5486
25827,5-1398
25828,3-8759
25829,5-8816
25830,4-8578
25831,4-1864
25832,8-2155
25833,5-0082
25834,3-3318
25835,5-6168
25836,5-1263
25837,7-4741
25838,5-1176
25839,3-6749
25840,4-1017
25841,5-1225
25842,5-6051
25843,2-8743
25844,3-1460
25845,4-6929
25846,6-7052
25847,8-2757
25848,3-8871
25849,1-4026
25850,4-6979
25851,2-3670
25852,6-2664
25853,5-0059
25854,1-8379
25855,8-6585
25856,7-4262
25857,2-4369
25858,5-3058
25859,5-6558
25860,8-0918
25861,3-6188
25862,6-3495
25863,6-0078
25864,1-0156
25865,7-4194
25866,5-6960
25867,8-2174
25868,2-7848
25869,4-8809
25870,2-6605
25871,6-5580
25872,5-2080
25873,8-4538
25874,7-1036
25875,4-3787
25876,6-6217
25877,2-0205
25878,2-4366
25879,6-5600
25880,5-2060
25881,1-5998
25882,7-6395
25883,6-7810
25884,8-5560
25885,3-4504
25886,2-6135
25887,2-4481
25888,6-9029
25889,1-5753
25890,6-3685
25891,3-1859
25892,6-1109
25893,1-4512
25894,4-5768
25895,7-0531
25896,4-0067
25897,2-9793
25898,8-9016
25899,7-2056
25900,8-7188
25901,2-9076
25902,7-7492
25903,8-1792
25904,8-9945
25905,4-6574
25906,2-5410
25907,4-3180
25908,2-4831
25909,7-9703
25910,8-9053
25911,4-9097
25912,3-5803
25913,8-1316
25914,6-0753
25915,1-2200
25916,5-9966
25917,1-5082
25918,3-2650
25919,1-4433
25920,5-6830
25921,4-9584
25922,8-3392
25923,6-8038
25924,5-4604
25925,6-5070
25926,6-6548
25927,5-3103
25928,3-0321
25929,6-2986
25930,6-1870
25931,5-6141
25932,8-6770
25933,7-9493
25934,1-0040
25935,1-8782
25936,6-0445
25937,4-5135
25938,5-3704
25939,6-2570
25940,3-1420
25941,3-4775
25942,6-3999
25943,1-6057
25944,1-2460
25945,6-9466
25946,3-1544
25947,8-4890
25948,2-2189
25949,7-4834
25950,2-9037
25951,5-1977
25952,2-1084
25953,4-6004
25954,4-0920
25955,2-5697
25956,5-0263
25957,5-7351
25958,2-6319
25959,4-0568
25960,2-5966
25961,4-5889
25962,2-6350
25963,3-2405
25964,3-5554
25965,2-7440
25966,6-5306
25967,5-8516
25968,7-1649
25969,8-7331
25970,3-4577
25971,4-1177
25972,2-8654
25973,1-5730
25974,4-3599
25975,6-2006
25976,2-5307
25977,5-9844
25978,7-1339
25979,7-3640
25980,8-1103
25981,7-8822
25982,4-3287
25983,8-8739
25984,7-0169
25985,1-9935
25986,2-2505
25987,2-8615
25988,6-7744
25989,5-8687
25990,5-6015
25991,6-1526
25992,6-5661
25993,7-0781
25994,1-7249
25995,1-2766
25996,6-5213
25997,1-1250
25998,5-8089
25999,1-0683
26000,3-2803
26001,7-8736
26002,5-8159
26003,3-2706
26004,7-3940
26005,4-5800
26006,7-3993
26007,1-1443
26008,5-8880
26009,7-7959
26010,1-9252
26011,7-2677
26012,1-2936
26013,1-3306
26014,6-9475
26015,5-8676
26016,5-9868
26017,3-5128
26018,2-3606
26019,2-0819
26020,3-6815
26021,4-2972
26022,6-6214
26023,3-7958
26024,8-4449
26025,8-4357
26026,2-0691
26027,7-0845
26028,2-6680
26029,3-3060
26030,1-6634
26031,4-0252
26032,2-9177
26033,4-3750
26034,4-5045
26035,3-6702
26036,2-5393
26037,8-0304
26038,5-1893
26039,3-9348
26040,6-9209
26041,6-6382
26042,6-7240
26043,5-3330
26044,4-2003
26045,5-5467
26046,7-6019
26047,8-1847
26048,6-8530
26049,1-3385
26050,7-3478
26051,8-0748
26052,8-3571
26053,3-8675
26054,6-4802
26055,3-2048
26056,2-4798
26057,8-1429
26058,5-4177
26059,1-0009
26060,6-3674
26061,7-5592
26062,5-9028
26063,7-1451
26064,2-8869
26065,4-1970
26066,8-0360
26067,2-0038
26068,1-3288
26069,3-7683
26070,4-1513
26071,3-4669
26072,6-6624
26073,1-5963
26074,7-1826
26075,3-6550
26076,7-4360
26077,4-7668
26078,6-3407
26079,3-3268
26080,6-6506
26081,4-0125
26082,7-0206
26083,1-8041
26084,2-8499
26085,7-9832
26086,3-2524
26087,5-8226
26088,3-0791
26089,6-8034
26090,6-6341
26091,6-9310
26092,3-5205
26093,7-4895
26094,4-2698
26095,7-2445
26096,7-2428
26097,2-6069
26098,3-3471
26099,6-0527
26100,6-8437
26101,8-1430
26102,4-0584
26103,6-6495
26104,2-9874
26105,7-6345
26106,2-7633
26107,1-8577
26108,2-8229
26109,1-5394
26110,8-9101
26111,3-8789
26112,1-2731
26113,2-3002
26114,1-4311
26115,5-0978
26116,2-7636
26117,5-0156
26118,7-7412
26119,1-2464
26120,8-6449
26121,4-2923
26122,4-7249
26123,5-6486
26124,6-5973
26125,6-9025
26126,8-1517
26127,6-1915
26128,7-8605
26129,7-4535
26130,1-1461
26131,6-5761
26132,1-3413
26133,2-8070
26134,4-2015
26135,8-0140
26136,3-7112
26137,2-4448
26138,7-6173
26139,5-7198
26140,2-1160
26141,8-6062
26142,8-2472
26143,7-2079
26144,2-2365
26145,4-0591
26146,3-4607
26147,4-3606
26148,3-6161
26149,7-8125
26150,6-6484
26151,8-9209
26152,2-0923
26153,1-5116
26154,2-9712
26155,7-2854
26156,2-5232
26157,1-1198
26158,4-4856
26159,5-0726
26160,5-5805
26161,1-1408
26162,1-3651
26163,8-1145
26164,8-9490
26165,7-4616
26166,7-1977
26167,2-3340
26168,2-3531
26169,3-8859
26170,8-1437
26171,1-6243
26172,7-0521
26173,4-9765
26174,3-7941
26175,3-4671
26176,7-9418
26177,4-4540
26178,3-3979
26179,6-5783
26180,6-2984
26181,6-1455
26182,1-1048
26183,3-5837
26184,7-1121
26185,1-0420
26186,4-3529
26187,5-9021
26188,8-3043
26189,1-8151
26190,8-0576
26191,5-1478
26192,4-7335
26193,3-3615
26194,8-0654
26195,4-0733
26196,3-0034
26197,2-0375
26198,1-2844
26199,8-8967
26200,5-7768
26201,4-5701
26202,2-5143
26203,2-6176
26204,5-1846
26205,8-4363
26206,1-1409
26207,3-9074
26208,6-4132
26209,1-9872
26210,5-0976
26211,8-0722
26212,6-5654
26213,4-9474
26214,3-4928
26215,6-7450
26216,7-7425
26217,6-4595
26218,7-6090
26219,5-4290
26220,7-0467
26221,5-9177
26222,3-5680
26223,8-2673
26224,4-1375
26225,4-9882
26226,6-4019
26227,6-6559
26228,2-2965
26229,7-4943
26230,5-6882
26231,8-6588
26232,8-2133
26233,7-9673
26234,6-0555
26235,3-5629
26236,2-9458
26237,8-3196
26238,4-0944
26239,8-2508
26240,5-9280
26241,7-6512
26242,3-2074
26243,5-9036
26244,1-7155
26245,2-6273
26246,6-4604
26247,6-5470
26248,5-9666
26249,1-0993
26250,1-6864
26251,5-6471
26252,7-9824
26253,6-3948
26254,4-3292
26255,2-4895
26256,4-5469
26257,7-8865
26258,8-1885
26259,7-8789
26260,1-0271
26261,1-6874
26262,8-0500
26263,6-5538
26264,7-4845
26265,2-0721
26266,2-6337
26267,3-9088
26268,3-3066
26269,1-0913
26270,7-3908
26271,3-4825
26272,6-6750
26273,7-5433
26274,4-6184
26275,1-9744
26276,8-4880
26277,8-3533
26278,7-8161
26279,1-7552
26280,2-3085
26281,5-9369
26282,5-6182
26283,2-4866
26284,1-2900
26285,5-1870
26286,1-3869
26287,3-0460
26288,3-8406
26289,3-3532
26290,5-1771
26291,7-6042
26292,1-7454
26293,8-4569
26294,7-0020
26295,8-5482
26296,2-5016
26297,1-5264
26298,3-6020
26299,5-5270
26300,6-8930
26301,2-2773
26302,5-1047
26303,3-5382
26304,4-7007
26305,5-7716
26306,7-8013
26307,5-3339
26308,7-1767
26309,4-2564
26310,2-9330
26311,4-1969
26312,7-2213
26313,4-2033
26314,3-9859
26315,2-5170
26316,4-2718
26317,8-6383
26318,5-7614
26319,3-1218
26320,5-3175
26321,5-8297
26322,6-8922
26323,8-2969
26324,1-7953
26325,7-0518
26326,7-3944
26327,4-6613
26328,1-9043
26329,5-7894
26330,2-4174
26331,1-7588
26332,5-2107
26333,5-8725
26334,4-7722
26335,1-3792
26336,8-5924
26337,1-9667
26338,1-9302
26339,2-0470
26340,7-6285
26341,6-3762
26342,2-0614
26343,7-7738
26344,8-9882
26345,2-6811
26346,2-4891
26347,7-7805
26348,3-1906
26349,7-6295
26350,7-7119
26351,2-3672
26352,2-4066
26353,8-6431
26354,1-7771
26355,5-5511
26356,2-0498
26357,4-7919
26358,5-2430
26359,7-8558
26360,8-6275
26361,7-0762
26362,7-5897
26363,3-6186
26364,1-2629
26365,5-0765
26366,4-2970
26367,7-3083
26368,4-3761
26369,4-8773
26370,1-8098
26371,8-0023
26372,3-5638
26373,5-7865
26374,5-5908
26375,2-9827
26376,8-4433
26377,1-3797
26378,2-6608
26379,1-9575
26380,5-5167
26381,5-3842
26382,8-0421
26383,1-4097
26384,5-2325
26385,5-2110
26386,3-1025
26387,4-1099
26388,8-5148
26389,5-1498
26390,4-3767
26391,3-8866
26392,5-0495
26393,1-3482
26394,2-3108
26395,3-2674
26396,7-9042
26397,3-1904
26398,6-4066
26399,6-1371
26400,8-3720
26401,6-9064
26402,5-5783
26403,2-3927
26404,1-5694
26405,1-5589
26406,5-8753
26407,2-1534
26408,6-8015
26409,4-2126
26410,1-6028
26411,7-3540
26412,4-1976
26413,6-6881
26414,1-4027
26415,3-4467
26416,6-3321
26417,3-2492
26418,4-3144
26419,4-6936
26420,2-6354
26421,1-0806
26422,5-2898
26423,3-9851
26424,6-1977
26425,1-6738
26426,7-3491
26427,6-6011
26428,1-9950
26429,8-8553
26430,6-8934
26431,5-1629
26432,5-3220
26433,6-1281
26434,1-5211
26435,1-5747
26436,8-7591
26437,4-4488
26438,6-8260
26439,5-0666
26440,4-4035
26441,6-2507
26442,5-0778
26443,4-1940
26444,1-1256
26445,2-6177
26446,5-3543
26447,4-2556
26448,4-6167
26449,4-5217
26450,4-4418
26451,4-1770
26452,4-3860
26453,4-7455
26454,8-5544
26455,7-2251
26456,6-7731
26457,6-0406
26458,8-2604
26459,6-1255
26460,1-3499
26461,6-2344
26462,7-4724
26463,4-1560
26464,1-9890
26465,7-4536
26466,1-6354
26467,7-7077
26468,8-1493
26469,6-2136
26470,7-0120
26471,8-1835
26472,4-7620
26473,4-8028
26474,1-8242
26475,6-0171
26476,6-8170
26477,8-1907
26478,4-5521
26479,8-8943
26480,5-1509
26481,2-9721
26482,1-8485
26483,8-0009
26484,5-9423
26485,3-7378
26486,1-0160
26487,3-4108
26488,7-3457
26489,5-3073
26490,5-4147
26491,2-6300
26492,7-4664
26493,1-6366
26494,1-5016
26495,4-7045
26496,2-5703
26497,1-5965
26498,7-6636
26499,2-5213
26500,8-4606
26501,1-4844
26502,5-9141
26503,2-0217
26504,7-2083
26505,5-2414
26506,6-6362
26507,7-6685
26508,2-1987
26509,4-3308
26510,1-4633
26511,1-7471
26512,1-0091
26513,5-2321
26514,1-0029
26515,7-6758
26516,1-8814
26517,7-5278
26518,5-6661
26519,7-7837
26520,7-9733
26521,4-3140
26522,1-1962
26523,3-6290
26524,6-8094
26525,7-6765
26526,1-0943
26527,3-2169
26528,1-4406
26529,8-4614
26530,2-7964
26531,4-6885
26532,8-9488
26533,7-0111
26534,8-3721
26535,2-7930
26536,4-1321
26537,4-2353
26538,2-0066
26539,7-6348
26540,2-4207
26541,4-3214
26542,8-9475
26543,4-4513
26544,5-1966
26545,7-7597
26546,7-5355
26547,6-3006
26548,1-2901
26549,1-2868
26550,3-6789
26551,6-2868
26552,5-4253
26553,6-4430
26554,1-5248
26555,5-1801
26556,3-2921
26557,2-7370
26558,5-2538
26559,6-4702
26560,6-5323
26561,7-2344
26562,4-6485
26563,6-0902
26564,4-2001
26565,1-6341
26566,3-2242
26567,8-0518
26568,7-8434
26569,4-4048
26570,6-5131
26571,6-2901
26572,1-8241
26573,4-8512
26574,8-2941
26575,7-7680
26576,1-7667
26577,8-2143
26578,1-3637
26579,3-1239
26580,4-9671
26581,7-0625
26582,7-4252
26583,7-7393
26584,4-0206
26585,2-6886
26586,7-7682
26587,4-4658
26588,3-8059
26589,1-8826
26590,6-4801
26591,8-1048
26592,1-4273
26593,7-5955
26594,5-9355
26595,7-7634
26596,5-2760
26597,2-1547
26598,3-5893
26599,8-7439
26600,7-7847
26601,6-5273
26602,3-9005
26603,5-3699
26604,8-1318
26605,2-2020
26606,2-3243
26607,3-7127
26608,1-2812
26609,6-1341
26610,2-7528
26611,8-1587
26612,5-0766
26613,3-9323
26614,8-1918
26615,6-4727
26616,6-3487
26617,2-0972
26618,1-7902
26619,6-1533
26620,8-3586
26621,1-5137
26622,2-1936
26623,6-9427
26624,7-5298
26625,7-6618
26626,3-9129
26627,4-0608
26628,1-0971
26629,3-4947
26630,1-9092
26631,7-7078
26632,8-2489
26633,4-0884
26634,4-3322
26635,4-6629
26636,7-5867
26637,6-0072
26638,2-0593
26639,6-5941
26640,6-2440
26641,3-8196
26642,3-0369
26643,8-0482
26644,5-7905
26645,3-6821
26646,8-6221
26647,3-4531
26648,8-8875
26649,4-9276
26650,8-2247
26651,3-0674
26652,1-8296
26653,1-5773
26654,7-9781
26655,5-2045
26656,7-8234
26657,3-5748
26658,4-9200
26659,4-0033
26660,2-8372
26661,7-2297
26662,2-2497
26663,3-3246
26664,3-8991
26665,3-9559
26666,1-5663
26667,7-5837
26668,7-9411
26669,2-8804
26670,5-4531
26671,6-3265
26672,2-1823
26673,5-4296
26674,6-4479
26675,1-9466
26676,1-1202
26677,5-5637
26678,2-3573
26679,4-9966
26680,3-5887
26681,3-9491
26682,2-9201
26683,4-0936
26684,1-4185
26685,4-2500
26686,8-7256
26687,8-9948
26688,7-6614
26689,6-2542
26690,8-8200
26691,1-5535
26692,7-9501
26693,5-3731
26694,1-8917
26695,5-2548
26696,3-7716
26697,1-0142
26698,6-3909
26699,5-5753
26700,6-7430
26701,5-1814
26702,2-3264
26703,6-6643
26704,2-5705
26705,5-4415
26706,1-7358
26707,8-0607
26708,6-4351
26709,8-5468
26710,2-1702
26711,2-3418
26712,4-0994
